Name,Summary,Tagged Interests
Bridges International,Bridges International is a caring community of Christ-followers welcoming all international students and scholars as well as interested American students and we are committed to:- Serving others- Promoting social conne...,"International, Community, Social Club, Special Interest"
Burning Hearts,"A student organization for discovering real relationships, focused on Jesus.","General Student Organizations, Art"
Business and Society House,"As a Living Learning Community, we strive to provide beneficial business connections, engaging social events, and rewarding volunteer opportunities to all of our members in a friendly, close-knit community.","Business, Community, Service, Social Club"
Business Club at Penn State World Campus,The Business Club at Penn State World Campus provides a place for members to connect with other Penn State students who are interested in business through co-curricular experiences and virtual social events.,"Business, General Student Organizations, Social Club, Special Interest"
Business Fraternity Council,"To govern the five member fraternities, to promote the professional, intellectual, philanthropic, fraternal, and social values of the business fraternities at the Pennsylvania State University and to maintain cooperation b...","Business, Social Club"
Business in Cosmetics Club,The Business in Cosmetics Club provides students interested in the cosmetics industry with resources to learn about the field and cultivate relationships with alumni. Our goal is to improve students' knowledge of career responsibilities industry wide.,"Business, General Student Organizations, Special Interest"
Business Innovation and Design Club,First-of-its-kind club based on design thinking and product management for students at Penn State. ,"Business, Leadership, General Student Organizations, Fashion"
Caliente Dance Company,The purpose of Caliente is to provide a visual representation of Latino culture at The Pennsylvania State University and to be a dance organization that focuses on embracing and spreading the Latino heritage throughout campus.,"Latino, Dance, Heritage, Books"
Campus Ministry International,The purpose of the Penn State CMI is to provide in depth study of Apostolic faith while setting up programs & services to encourage and maintain spiritual awareness. ,"International, Service, Religious"
Campus Recreation,"Campus Recreation is a unit within Student Affairs at Penn State. Our facilities and programs serve our students, faculty, staff, and community with a diverse offering of wellbeing opportunities to enhance the student experience at University Park.",Community
Campus Weather Service,"Celebrating 50 years of University recognition in 2022!

Provides students with real-world experience in meteorological broadcasting and forecasting; Provides accurate weather information for clients across the Commonwealth of Pennsylvania, and more!","Service, Broadcasting"
Car Club at Penn State,Car Club at Penn State involves a group of students who share a passion for their vehicles while creating a sense of family and community. It affords enthusiasts a safe place to enjoy their vehicles and our great hobby.,"General Student Organizations, Community"
Caribbean Student Association,"Promotes the active dissemination of cultural, political, and historical information about the Caribbean islands and people and maintains contact with Caribbean embassies in the United States.",Heritage
Casino Management Club,The School of Hospitality has a casino lab where we want to reconnect with the casino segment of the hospitality industry. We strive to empower the casino side of the hospitality industry by joining this club to network and increase our knowledge.,"Leadership, General Student Organizations"
Catholic Campus Ministries,The mission of the Catholic Campus Ministries at Penn State is to give witness to a Catholic presence in university life and to promote and sustain the well being of the whole Catholic person. Grounded in the tradition of ...,Heritage
Cedar Heights Church RSO,Cedar Heights Registered Student Organization is a RSO that fosters a multi-ethnic community where people who don't know Jesus can come to learn about him and understand the good news Jesus brings. Those currently Christian are welcome to come and grow!,"General Student Organizations, Community, Christian Organizations"
Cello Club,"The purpose of the Cello Club at Penn State is to promote the playing of cello, combine in an ensemble form to create music, and to explore and recognize the playing of other cellists, orchestras, and philharmonics.","Music, General Student Organizations"
Center for Infectious Disease Dynamics Graduate Student Association,"To (1) increase graduate student involvement in the Center of Infectious Disease Dynamics (CIDD) events, (2) create a sense of community among graduate students involved with the CIDD, and (3) foster professional developme...",Community
Center for Reproductive Biology and Health Research Team,CRBH Research Team is a club for those interested in the study of reproduction and would like to further their knowledge and experience in the field.,"Science, General Student Organizations, Special Interest"
Center for Sexual and Gender Diversity,"The Center for Sexual and Gender Diversity (CSGD) is a unit of Student Affairs at Penn State University Park focused on supporting, advocating, and building community for LGBTQ+ students and allies. ","Diversity, Community"
Center for Spiritual and Ethical Development,"The largest multi-faith center of its kind in the country, The Pasquerilla Spiritual Center is home to the Center for Spiritual and Ethical Development at Penn State. ","Leadership, Religious"
Center for Sustainability Community Garden,"To create a garden that will provide land, facilities, and resources for PSU students, faculty, staff, and local residents to grow some of their own produce and participate in the local food system. ","Community, Food, Art, Sustainability"
Central Student Association,Central is a student organization meant for student from central america as well as students who would like to learn about the different cultures and traditions of the different countries in the region. ,"General Student Organizations, Heritage"
Centre Film Festival Club,"We will provide opportunities to meet inspiring industry professionals. We seek to bring students across academic interest/backgrounds together in a love of cinema, independent and international film, and create an on-campus community.","Film, International, Community, Special Interest, General Student Organizations"
Centre Helps Club,"PSU Centre Helps Club will serve as a bridge between service opportunities for the community offered through Centre Helps and the Penn State campus community. We aim to create a positive on-campus culture, allowing students to help their peers in need.","General Student Organizations, Community, Service"
Chabad,To foster Jewish pride and identity by providing a warm environment that enables Penn State students to explore their Jewish heritage regardless of religious background or financial status.  ,"Religious, LGBTQ+, Sustainability, Heritage, Jewish Organizations"
Challah for Hope,Challah for Hope is an advocacy organization that raises money to fight food insecurity on college campuses. We hold baking events every other week and collect donations for the State College Food Bank. Open to all!,"Fundraising, Food, Advocacy"
Chamber Music Society,The purpose of the Chamber Music Society is to provide an outlet to serve the classical music needs of the Penn State community and to further appreciation of chamber music by providing education and performance  opportunities for interested instrumental,"Music, Community, Special Interest"
"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State",The purpose of the CHAARG of Penn State Chapter is to serve college aged students in pursuing their health and wellness goals through creating a community of peers and enhancing our members' knowledge and experience of health and wellness. ,Community
Chapter of Material Advantage at Penn State,"To promote among its members a self-sought increasing knowledge of metallurgy, ceramics, materials science and engineering and all its branches and to instill a professional pride in their chosen life work.","Science, Engineering, LGBTQ+"
Chapter of the National Weather Association,The purpose of the Pennsylvania State University Chapter of the National Weather Association shall be to serve as a student chapter of the NWA to support meteorology students with particular interest in weather communication.,"Special Interest, Art"
Cheerleading Club,Allows students interested in cheering post-high school the chance to do so with qualified instructors / advisors to assist during the club meetings.,"General Student Organizations, Special Interest"
Chemistry Graduate Student Association,"The name of the organization shall be the Chemistry Graduate Student Association, also to be referred to as Chem GSA.The purpose of the Chemistry Graduate Student Association shall be to provide graduate students with th...",Science
Chi Epsilon,"Chi Epsilon honors Junior and Senior year students seeking a degree in Civil Engineering who embody the four principles of the profession: ""Scholarship, Character, Practicality, and Sociability."" Since 1925, The Pennsylvan...",Engineering
Chi Epsilon Pi,"Serves as a means of awarding distinction to students who have high scholastic ability and promise of achievement in meteorology, and promotes student interest in advanced study of meteorology and related sciences.","Science, Special Interest"
Chi Phi,"Chi Phi fraternity was founded in 1824 and is known as the ""oldest men's college fraternity"" in existence. The fraternity exists for the ""betterment of collegiate men."" The Alpha Delta (Penn State) chapter has been in existence since​ 1911. Since then,...",General Student Organizations
Chi Sigma Iota Honor Society,"Promotes scholarship, research, professionalism, and excellence in counseling, and to recognize high attainment in the pursuit of academic and clinical excellence in the field of counseling.",General Student Organizations
Chick Evans Caddie Scholars at Penn State,"We represent an educational institution seeking to teach men and women to live and work together, instill in them the ability to embrace individual differences and to respect individual freedoms. Personal growth is our goal; group living is our means.",Women’s Empowerment
Child Maltreatment Prevention Student Group,"The mission of this organization shall be to help bring awareness to child maltreatment and advocate for children’s health and well-being, as well as bring attention to the existing programs in place. Additionally, the group will aim to implement new act",General Student Organizations
Chilean American Students and Community Association,"The mission of the CHASCA is to promote unity, celebrate heritage, and embrace the diversity of Chilean culture within the Penn State community.","Diversity, Community, Heritage"
Chinese Popular Music Association,To gather all student who love music and performing together.,"Music, Asian Student Life"
Chinese Students and Scholars Association,"To present the culture of China and promote culture exchange, friendship and mutual understanding between its members and the public. To promote friendship among its members. To cooperate with related offices on campus and...","Social Club, Asian Student Life"
Chinese Undergraduate Student Association,Chinese Undergraduate Student Association at Penn State University is a non-profit and non-political organization. CUSA serves as a diversion from all the burdens and frustration of college. It is designed to provide a healthy and optimistic environment.,"Asian Student Life, Fashion, Sustainability"
Christian Student Fellowship,"Promotes fellowship among Christian students, encourages development of Christian maturity, provides a vehicle for Christian ministry, and develops programs of Christian education.","Leadership, Christian Organizations"
Circle K,"Circle K International is a collegiate service organization with a worldwide membership that promotes fellowship, leadership, and service.","Leadership, Service, International"
Civic Engagement Alliance,The Civic Engagement Alliance is a collective of student leaders from student organizations across campus. CEA promotes non-partisan voter registration and education as well as civic engagement programming throughout the academic year,"Technology, General Student Organizations, Community, Art"
Clarinet Club,"The purpose of the Penn State Clarinet Club is to: (1) Serve as a forum for clarinetists to share works in progress, techniques, ideas, and resources in an open and non-discriminatory manner, (2) Raise awareness of the...",General Student Organizations
Classical Guitar Club,The Classical Guitar Club seeks to provide additional educational enrichment to classical guitarists at Penn State. ,General Student Organizations
Classics and Ancient Mediterranean Studies Club,To help educate students on the ancient and classical world and to help develop interest in this field.,"General Student Organizations, Special Interest"
Clay cOven,"The mission of this club is to unite ceramic witches, in order to learn from peers and other artists.","General Student Organizations, Art"
Clean Up State Project Club,"CUSP will cater to the Penn State student community and State College community as a whole. We will mobilize and engage our community through sustainable initiatives, cleanups, and education.","General Student Organizations, Community"
Climate Action Campaign at Penn State,"The Climate Action Campaign at PSU brings together students interested in learning more and participating in climate action at a local, statewide, and federal level. Our club holds issue-based petition drives, nonpartisan voter registrations, and debates","General Student Organizations, Public Speaking, Art, Special Interest"
Club Bass Fishing,Club Bass Fishing provides its members with the opportunity to further their knowledge and enjoyment of the sport of fishing. The club also provides a platform for its members to compete in the highest levels of the sport.,"Fishing & Hunting, General Student Organizations"
Club Climbing,"We rock 🧗🏼

The Climbing Club and Collegiate Team offer both recreational and competitive indoor climbing opportunities for all skill levels and disciplines. 
","General Student Organizations, Climbing"
Club Crew,"Club Crew team on campus that practices and competes regularly. As a part of the Club Sports program, the organization is open for anyone to join and learn how to row.","General Student Organizations, Art"
Club Cricket ,The Cricket Club at Penn State seeks to promote the game of cricket amongst all Penn State students by arranging regular practice sessions and matches amongst each other and other universities across the U.S. ,General Student Organizations
Club Croquet,"To offer its members the ability to participate, learn, and enjoy the time-honored sport of croquet. We also congregate to interact with new individuals on a social level in the Penn State community.","General Student Organizations, Community, Social Club, Art"
Club Cross Country,Cross Country was founded so runners of all abilities could have the chance to train and compete in distance running at the collegiate level without the stresses of a varsity sport.,"General Student Organizations, Running"
Club Curling,"Penn State Club Curling (PSCC) is PSU's newest addition to the Club Sports program. PSCC competes against other universities within USA College Curling. We proudly host the largest college curling team in America, with over 20 registered curlers.",General Student Organizations
Club Dodgeball,Club Dodgeball is a closely-knit group of Penn Staters. Our weekly practices and tournament travel have solidified PSU Dodgeball as one of the best Division 1 team in the nation. All are welcome to join and find a home away from home.,"General Student Organizations, Travel"
Club Dressage,To promote horsemanship by teaching good sound quality basics and introducing students to the classical riding/training principles of Dressage.,General Student Organizations
Club Esports,"Providing students opportunities to learn and grow within the realm of Esports through competitions, community events, and personal development.","General Student Organizations, Gaming, Leadership, Community"
Club Field Hockey,"Provides regular team field hockey play below the Varsity/Junior Varsity levels, and provides competition with other schools and other club teams.",General Student Organizations
Club Golf,Provides students with the opportunity to be part of a competitive environment in the game of golf.,"General Student Organizations, Art, Sustainability"
Club Gymnastics,Provides all individuals interested in gymnastics a place to practice and improve their skills with help from teammates and qualified coaches.,"General Student Organizations, Fitness, Special Interest"
Club Kendo,"Kendo (剣道), or ""the way of the sword"", is a competitive sport that finds its origins in traditional Japanese swordplay. Commonly referred to as ""Japanese fencing"", practitioners of Kendo compete using bamboo swords to score points.","General Student Organizations, Heritage, Asian Student Life"
Club Pickleball,"A fun sport that combines many elements of tennis, badminton and ping-pong. Played both indoors or outdoors on a badminton-sized court and a slightly modified tennis net. Played with a paddle and a plastic ball with holes. Played as doubles or singles.","Outdoors, General Student Organizations"
Club Powerlifting,"Helps members compete in sanctioned, drug free power lifting meets while representing Penn State, and promotes individual fitness and well being.","General Student Organizations, Fitness"
Club Quadball,"Club Quadball is the official club sport organization for Penn State's competitive quadball team. We welcome athletes and potential athletes of all levels, no prior experience necessary! Feel free to email or DM us on our socials with questions!","General Student Organizations, Social Club"
Club Roller Hockey,Penn State Club Roller Hockey travels to compete against other colleges in Division II of the Eastern Collegiate Roller Hockey Association (ECRHA). ,"General Student Organizations, Travel"
Club Roundnet,The mission of this club/organization is to build community and camaraderie among those pursuing their passion for Spikeball/roundnet here at Penn State.,"General Student Organizations, Community"
Club Sailing,"Provides its members with sailing related instruction and recreation through the promotion of safe boating, study of seamanship, yacht sailing, and intra/inter club competition.","Water Sports, General Student Organizations"
Club Ski Team,"Develops its members' skiing abilities and trains for competition, as well as engages in all types of competitive skiing at every possible level through an active program of physical training, instruction, friendship and competition.","General Student Organizations, Social Club"
Club Softball,Provides the opportunity for women to play softball at a competitive level without the commitment of being a member of a Division I Varsity sport.,"Women’s Empowerment, General Student Organizations"
Club Swimming,Swimming ,"Water Sports, General Student Organizations"
Club Table Tennis,"The Penn State Table Tennis Club aims to bring together table tennis enthusiasts of all skill levels for regular practice, friendly competition, and skill development. The club hosts weekly practice sessions with teaching included.","Leadership, General Student Organizations"
Club Taekwondo,Disciplines the mind and body through Tae Kwon Do.,"General Student Organizations, Martial Arts"
Club Tennis,"Provides a beneficial extracurricular organization, which promotes athleticism through the sport of tennis.",General Student Organizations
Club Track and Field,"Penn State's official Club Track & Field team! If interested in learning more follow us on Instagram @PSUTFC. If you wish to compete with us, sign up on IM Leagues and join us at practice on the outdoor track M-Th @ 5:30 PM.","General Student Organizations, Running, Special Interest"
Club Triathlon,"Provides any student or faculty member with the opportunity to improve his/her ability to compete in triathlon or any of three sports (swim, bike, run) of which it is comprised.",General Student Organizations
Club Twirling,"To provide members with an opportunity to learn, perform, and compete in the sport of twirling.",General Student Organizations
Club Wrestling,Wrestling ,General Student Organizations
Coalition for Christian Outreach,"Aims to deepen and strengthen the spiritual life of the student body through Bible study, prayer, and fellowship.","Religious, Fitness, Christian Organizations"
Coaly Society,"Promotes the profession of agriculture by establishing, fostering, and developing high standards of leadership, character and spirit of fellowship among all students in agriculture.",Leadership
Coda Conduct,"To promote diversity and music education to the University through a cappella singing, and to extend its members' knowledge of music.","Music, Diversity"
Coder's Guild,"To provide a collaborative and focused environment where students can share, develop, and execute their project ideas. The club is project-centric, aimed at fostering a culture of action where ideas are transformed into real, functioning projects.","General Student Organizations, Sustainability"
Coffee Club,"The Penn State Coffee Club is a student-focused coffee interest group on the University Park Campus aimed at promoting the connoisseurship, tradition, and science behind brewing and enjoying coffee. Through the club, stude...","Coffee, Special Interest, Heritage, Science, General Student Organizations"
College Democrats,"The purpose of the College Democrats shall be to promote, both on campus and off, the Democratic Party of the United States of America, its ideals, and its philosophies. ","Art, Political Organizations"
College of Education Graduate Student Council,CoEGSC is a student-run organization aimed at fostering community across the diverse body of education programs. Our goal is to cultivate dialogue among graduate students in order to increase diversity of thought and to support each other in our journey.,"Diversity, Community"
College of Education Student Council,The College of Education Student Council seeks to represent the College of Education student body and promote meaningful student interactions with a variety of stakeholders. We are dedicated to enhancing the undergraduate student experience!,General Student Organizations
College of Health and Human Development Ambassadors,"As Ambassadors, members have the opportunity to interact with prospective and current students during Major and Minor Nights, Tours, Accepted Student Programs, and events as requested per the Dean and/or other members of the College’s Administration. ",Leadership
College of Health and Human Development Honor Society,Honors and recognizes students in the College of Health and Human Development with high academic standing and promotes an exchange of ideas between faculty and students.,Leadership
College of Health and Human Development Undergraduate Student Council,"Represents and acts as a voice of the student body of the college; and develops cooperation, communication, and unity. Helping You Help Others. ","Leadership, Service"
College Republicans,"The purpose of Penn State College Republicans is to assist in the election of Republican candidates to local, state, and national office, promote conservative ideals and principles at the Pennsylvania State University, and engage in community service.","Community, Service, Political Organizations"
Collegian Street Team,The purpose of the Collegian Street Team is to increase awareness and enthusiasm about the Collegian with the Penn State student body.,General Student Organizations
Collegiate Cattlewomen,To promote a higher scholastic standard and a more complete understanding of the cattle industry among student members.,Women’s Empowerment
Collegiate Farm Bureau,"To provide professional development opportunities for students enrolled at the Pennsylvania State University.  Working cooperatively with Pennsylvania Farm Bureau, the club will promote agriculture and career education to the surrounding community.","General Student Organizations, Leadership, Community"
Collegiate Horsemen's Association at Penn State,Provides a non-competitive atmosphere for Penn State students and alumni to enjoy horse related activities in the company of others with similar interests.,Special Interest
Collegiate Sportsmen and Women's Coalition,"The Collegiate Sportsmen and Women’s Coalition at Penn State educates students on the role of sportspeople in conservation, key policy issues affecting them, and how to effectively engage with elected officials to support traditional sporting activities.","Women’s Empowerment, Heritage"
Colombian American Student Association,"The purpose of the Colombian American Student Association is to foster culture to the Penn State community through various educational activities and social gatherings to help members interact, learn, and connect.","Community, Social Club"
Colombian Graduate Students Community at Penn State,"This is an organization created for and by Colombian graduate students, professors, investigators, and the community in general with the purpose of consolidating and raising awareness of our presence in Penn State.",Community
COMMON,"COMMON is a THON organization that will support the kids, raise money for pediatric cancer, and participate in the 46-hour dance marathon while creating a diverse community of commonwealth students from different branch campuses.","Dance, Community, Art"
Community Environment and Development Club,"Our club helps connect students with resources, professionals, and opportunities in CED. Students from all majors are welcome to join meetings and activities. Activities range from networking/outing events, fundraising, and guest speaker panels.
","Leadership, Community, Sustainability, Social Club, General Student Organizations, Fundraising"
Comparative and International Education Student Association,"The purpose of the Comparative and International Education Student Association is to
promote the development of students as scholars and future professionals in the field of
Comparative and International Education.","Leadership, International"
Competitive Ballroom and Latin Dance Club at Penn State,"We teach members skills need to participate in dancesport competition on the collegiate circuit. Dances offered include, but are not limited to: Waltz, Tango, Foxtrot, Quickstep, Viennese Waltz, Rumba, Cha Cha, Samba, Jive and Paso Doble.","General Student Organizations, Dance, Art"
Competitive Cyber Security Organization,"The Competitive Cyber Security Organization's (CCSO) purpose is to provide members with opportunities to pursue their interests in all facets of cybersecurity, develop their technical skills, collaborate with organizations, and provide mentorship.",Special Interest
Concert Choir,"Penn State Concert Choir is an SATB ensemble that studies various choral literature (from recognizable Renaissance works to pieces penned by living composers), and is regularly featured in scheduled campus concerts and premier venues each season.","Writing, Music, Books"
Concrete Canoe Team,"The purpose of the Penn State Concrete Canoe team is to compete in the American Society of Civil Engineers annual Student Concrete Canoe Competition. The Canoes are judged on design, floatation, presentation, and placement within the races.","Engineering, Fashion"
Consulting Organization at Penn State,"PSCO is a student organization at Penn State that operates in conjunction with NLCG. NLCG is a student-managed, faculty-supported consulting firm where NLCG members earn academic credit and work with clients on real-world business problems.","Business, General Student Organizations"
Coptic Orthodox Student Association,"Coptic Student Association provides a welcoming environment for any student on campus who would like to learn more about the coptic culture and religion. We host social events, bring in guest speakers, hold worship nights, and more!","Social Club, Sustainability"
Corporate Innovation & Entrepreneurship Society,"The Corporate Innovation & Entrepreneurship Society (CIES) fosters a creative, innovative culture within Penn State’s community. Our aim is to strengthen the academic and professional network of students interested in entrepreneurship","Fitness, Entrepreneurship, Community, Special Interest, Business"
Council for Exceptional Children,"Promotes and encourages an awareness, acceptance, and the integration of persons with disabilities into the community and educational environments by sponsoring speakers, integrated events, and other such related activities.","Community, Sustainability"
Council Of Commonwealth Student Governments,"The Council of Commonwealth Student Governments (CCSG) advocates for the 19 Penn State Commonwealth Campuses by providing a forum for communication, growth, unity and legislative opportunities for Penn State students.",General Student Organizations
Crafts 4 Causes at World Campus,"The goals for Crafts 4 Causes are to create, help, inspire, provide, and share. We pride ourselves on our homemade crafts. We create each piece with love and to help a charity in our community, and we help each another when times are tough. ","Community, Fundraising, DIY, LGBTQ+"
Creative Arts Club at Penn State,CACPS aims to create a social atmosphere for members to build connections and share a variety of art forms. We strive to create a community for artists of all abilities who are looking for a relaxed group to create with.,"General Student Organizations, Community, Social Club, Art"
Creative Writing Club,"The Creative Writing Club is a casual, community-oriented club dedicated to helping students explore and develop their interest in writing through both independent and collaborative writing projects and activities. ","Writing, Community, Service, Special Interest, General Student Organizations"
Cross-Unit Events,This page is intended to share out events from various units within and across the university.,General Student Organizations
Crossfit Club at Penn State,"The CrossFit training program seeks to create an environment where the values of discipline, self enhancement, team unity, and accountability are encouraged and reinforced. In preparing ourselves to succeed in life, this i...","General Student Organizations, Sustainability"
Cru - Grad Students at Penn State,Provides fellowship for graduate students interested in investigating or developing a Christian belief system.,"Special Interest, Christian Organizations"
Cru at Penn State,"Penn State Cru is a community where the gospel captivates hearts, transforms lives, and launches men and women into a lifelong adventure with Jesus Christ.","Women’s Empowerment, Community, Art, Outdoors"
Culinary Medicine Club,CMC is a space where students can learn about the role of nutrition in promoting overall wellness and contributing to preventative medicine. We work to influence healthy eating behaviors in students through education and spreading the joy of cooking!,"Medicine & Health, General Student Organizations, Food, Books"
Cure Multiple Sclerosis Club,At CMSC we strive to spread awareness and fundraise for the benefit of individuals living with multiple sclerosis.,General Student Organizations
Curriculum and Instruction Graduate Student Association,"CIGSA is a student organization by and for Curriculum and Instruction graduate students. Through events and programming, CIGSA aims to foster a sense of belonging in which members feel valued and supported throughout their graduate program.","Technology, General Student Organizations"
Cybersecurity Consulting Club,We empower students through practical cybersecurity projects and industry-standard experiences to enhance career readiness and networking opportunities.,"General Student Organizations, Social Club"
Cycling Club,"We promote the use of the bicycle in all its forms, whether on or off-road, as a means of transportation, exercise, recreation, or competition. ",General Student Organizations
Dairy Science Club,"Promotes a spirit of mutual goodwill among those students interested in dairying, to develop leadership and to aid in advancing the general welfare of the dairy industry.","Science, Leadership, General Student Organizations, Special Interest"
Dance Alliance,Facilitate the growth of the Penn State dance community and facilitate student involvement in the Penn State dance community.,"Dance, Community"
Dark Storm Step Team,A. Dark Storm Step Team is a club that will unite all students from different cultural backgrounds and to allow them to express their different cultural through step. To perform at different events held on and off campus  in the State College community.,"General Student Organizations, Journalism, Community, Heritage"
DASH,"The mission of DASH is to bring students together, raise money and spread awareness for the Penn State IFC/Panhellenic marathon (THON). DASH seeks to come together as a family to offer love, comfort and support to children...",General Student Organizations
Days for Girls at Penn State,"Days for Girls at Penn State sews and facilitates the distribution of reusable menstrual health kits, organizes fundraisers, and advocates to end period poverty. 🌼🧡🩸",General Student Organizations
Dear Hero Program,"To raise the morale of deployed troops, as well as support for veterans and military families both locally and nationally.",General Student Organizations
Delta Chi,"Delta Chi strives to promote friendship, develop character, advance justice, and assist in the acquisition of a sound education.","Social Club, Human Rights"
Delta Delta Epsilon,"The mission of the Society is to stimulate academic achievement, promote community understanding, and advance the fields of forensic science.","Science, Community"
Delta Gamma,"Women's organization based on the values of friendship, cultural and educational interests, social responsibility and developing the best qualities of character. Do Good!","Women’s Empowerment, Social Club, Heritage, Special Interest"
Delta Gamma Chi at World Campus,"Delta Gamma Chi is a service sorority at Penn State World Campus. The organization's philanthropy revolves around World Wildlife Fund (WWF) to help “conserve nature and reduce the most pressing threats to the diversity of life on Earth"".","Journalism, Service, Art, Diversity, Philanthropy, Outdoors"
Delta Kappa Alpha,National Gender-Inclusive Professional Cinematic Society,Film
Delta Kappa Epsilon,"Gentlemen, scholars, and jolly good fellows.",General Student Organizations
Delta Phi Epsilon,"We are an international sorority focused on empowering women to be their best selves. We do so by providing opportunities in the areas of service, social, scholarship, sisterhood, and self.","Women’s Empowerment, International, Social Club, Service"
Delta Sigma Phi,"Delta Sigma Phi's purpose is to foster a culture that provides Better Men, Better Lives. D Sig focuses on the growth and leadership skills of their members to benefit them and going forward in their lives as Delta Sigs.",Leadership
Delta Sigma Pi,"Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities and to encourage scholarship, social activity, and the association of students for their mutual advancement by research and practice.","Business, Social Club"
"Delta Sigma Theta Sorority, Inc.","Delta Sigma Theta Sorority, Incorporated is an organization of college educated women committed to the constructive development of its members and to public service with a primary focus on the Black community.","Leadership, Community, Service, Women’s Empowerment, Black Student Life, Business"
Delta Theta Sigma,"Delta Theta Sigma is a social-professional fraternity composed of elite agriculture majors from all over the United States. We strive to promote agriculture, scholarship, and maintain social/cultural unity within the agricultural vocation.","Social Club, Heritage"
Delta Upsilon International Fraternity,"Located at 229 Locust Lane, State College PA, 16801",International
Delta Zeta,Gamma Delta Chapter of Delta Zeta at Penn State.,General Student Organizations
Demography Graduate Student Association,"Demography Graduate Student Association (DGSA) aims to provide a space for all Demography graduate students to connect, share information and resources, access mentorship, and receive funding. ",General Student Organizations
Derby: a Women's Comedy Troupe,"To create a collaborative, creative space for women and non-binary folks to write and perform any styles of comedy.","Women’s Empowerment, Fashion"
Design Association,"The Design Association provides enrichment opportunities to students with a passion for art and design. The Design Association will connect creatives with each other and to real world scenarios, striving to better its members and community.","Fashion, Community, Art"
Diabetes Link,Our Chapter of The Diabetes Link was founded for the purpose of connecting college students with and affected by Juvenile Diabetes in the hopes that these connections will create a support network.,General Student Organizations
Digital Media Group,Digital Media Group is dedicated to professional development and community building among digital artists.,"Leadership, Community, Art"
Digital Multimedia Design Club at World Campus,"DMD Club at Penn State World Campus aims to foster a student community for the DMD program and provide members with the opportunity to interact with professionals, alumni, and other students with similar interests and goal.","General Student Organizations, Community, Fashion, Special Interest"
Disability Alliance at Penn State,"We work to identify and address barriers that prevent individuals with disabilities from fully participating in campus life, and to promote policies and practices that support their inclusion. By collaborating with campus administration and other student","Diversity, Art"
Disc Golf Club,To provide recreational and competitive opportunities in the sport of disc golf to Penn State students.,General Student Organizations
Disciplemakers Christian Fellowship,Christian Fellowship On Campus,Christian Organizations
Disney Club at Penn State,"Our mission is to provide members opportunities to share their passion for Disney, engage in Disney experiences, and connect with Disney professionals.
",General Student Organizations
"Diversity, Inclusion, and Advocacy for Minority Nursing Students","Our organization aims to create a safe, inclusive community for minority nursing students to thrive, embrace their identities, and become professional, compassionate, culturally competent healthcare leaders.","Community, Advocacy, Medicine & Health, Diversity, Heritage"
DMAX Club at Penn State,The purpose of the DMAX Club at Penn State is to encourage honest and open conversations about mental health in a safe environment among students. ,"General Student Organizations, Sustainability, Psychology"
Dominican Student Association,The Dominican Student Association was founded at the Pennsylvania State University on April 6th 2009. The Purpose of the Dominican Student Association is to increase campus understanding of the Dominican Republic as a nati...,General Student Organizations
Ducks Unlimited at Penn State,"Ducks University chapters are playing an increasingly important role in Ducks Unlimited's
conservation mission. DU recognizes that a vibrant and strong collegiate program is the key to a
healthy future for wetlands conservation.",General Student Organizations
Dungeons and Dragons,"Dungeons and Dragons Club is a club designed to organize and facilitate the creation of D&D (Dungeons and Dragons) groups at Penn State University and to host D&D related events. If you're in search of a D&D group, we're here to help you find one!","General Student Organizations, Fashion"
Eagles Autism Foundation College Program,"The Eagles Autism Foundation raises funds for autism research and care programs, promotes inclusion across all Eagles events, and aims to inspire and engage the community so we can provide much-needed support to make a lasting impact in the autism field.","Diversity, Community"
Early Career Professionals Group,"The Student Affairs Early Career Professionals Group aims to provide opportunities to grow socially, professionally, and educationally through engaging meetings and conversations with peers who are in their first seven years of Student Affairs work.",Social Club
Early Period Studies Group,"We promote a sense of community and collegiality amidst graduate students studying literature, history, art, philosophy, etc. of the medieval period, Renaissance, seventeenth, and eighteenth centuries.","Writing, Community, Art, Books"
Earth and Mineral Sciences Living Learning Community,The Earth and Mineral Sciences LLC (Living Learning Community) exists to provide a live-in community that promotes a favorable academic and social atmosphere for students pursuing degrees within the College of Earth and Mineral Sciences.,"Science, Community, Social Club, Art"
Earth and Mineral Sciences Student Council,"Provides a vital link between students, administration, and community in an attempt to enrich the intellectual and social atmosphere of the College of Earth and Mineral Sciences.","Science, Community, Social Club, Art"
Earth House,Provides academic support and an enjoyable and diverse living environment for those interested in agricultural and environmental issues.,"Special Interest, Heritage, Art, Sustainability"
Earthquake Engineering Research Institute Pennsylvania State University Student Chapter,EERI PSU Student Chapter fosters the understanding of earthquake resilience in communities by sharing fundamental knowledge and learning from professional practice and research experiences. The student organization is comprised of student body members.,"General Student Organizations, Engineering, Art"
East African Student Association at Penn State,"To educate, promote, and celebrate the East African (EA) diaspora and aim to convey the culture and customs of the EA nations. ",General Student Organizations
Eberly College of Science Achieving Change of Campus Excellence in Student Success,The mission of Eberly College of Science ACCESS is to mentor and advocate for Penn State Commonwealth Campus students who transition to the University Park Campus.,Science
Eberly College of Science Student Council,"Represents the undergraduate student population in the Eberly College of Science to the College and University administrations, provides assistance and support to the students in the College, works to improve interactions ...","Science, Service"
